pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,st_mass
"HD 2039 b",12.70000000,1999.15070000,1120.00000000000,210.84,5945.00,1.190000,1.230000
"KOI-142 b",3.43800000,9.50000000,10.91647000000,758.00,5466.00,0.897000,0.990000
"HAT-P-8 b",15.69260000,406.82240000,3.07634000000,1713.00,6200.00,1.570000,1.270000
"K2-43 b",4.51000000,18.50000000,3.47114900000,939.30,3840.60,0.542000,0.571000
"Kepler-1753 b",2.22678077,5.59000000,16.00460052000,583.00,5180.00,0.769000,0.860000
"Kepler-1176 b",2.45000000,6.57000000,24.17385790000,595.00,5844.00,1.020000,1.010000
"K2-126 b",1.97000000,4.54000000,7.38565500000,601.00,4339.00,0.650000,0.690000
"Kepler-1263 b",1.14000000,1.55000000,4.55139967000,907.00,5213.00,0.800000,0.840000
"Kepler-1416 b",0.88000000,0.61500000,1.49514952000,1870.00,6019.00,1.150000,1.090000
"Kepler-1542 c",0.65000000,0.20800000,2.89223021000,1287.00,5564.00,0.990000,0.940000
"K2-85 b",1.40000000,3.20000000,0.68453862616,1355.00,4232.00,0.710000,0.700000
"Kepler-368 c",3.88000000,14.30000000,72.37933400000,575.00,5502.00,2.019000,1.165000
"K2-123 b",2.76000000,8.05000000,30.95152400000,338.00,4035.00,0.590000,0.620000
"Kepler-770 b",2.30000000,5.90000000,18.92540274000,1171.00,5598.00,0.920000,0.940000
"Kepler-1399 b",1.25000000,2.10000000,1.63865305800,1610.00,5735.00,0.960000,0.970000
"Kepler-723 b",12.19000000,,4.08227506800,1016.00,5539.00,0.890000,0.920000
"K2-107 b",15.98000000,266.97720000,3.31395900000,1649.00,6061.00,1.810000,1.300000
"K2-45 b",6.71000000,36.40000000,1.72926840000,1073.56,4103.00,0.445000,0.503000
"K2-365 b",2.90600000,8.78000000,23.44817200000,,5561.00,1.051000,0.823000
"K2-127 b",8.37000000,52.90000000,3.58816300000,809.00,4575.00,0.660000,0.720000
"K2-195 b",3.13000000,9.96000000,15.85297500000,720.00,5713.00,0.990000,0.940000
"K2-80 c",1.47000000,2.76000000,5.60500000000,1002.42,5441.00,0.870000,0.900000
"K2-229 c",2.03000000,7.00000000,8.32727000000,750.00,5315.00,0.790000,0.870000
"HAT-P-3 b",10.53646000,206.58950000,2.89970000000,1189.00,5185.00,0.870000,1.060000
"WASP-32 b",10.76064000,835.89290000,2.71866000000,1388.00,6140.00,0.950000,0.720000
"WASP-24 b",15.46842000,394.10920000,2.34121000000,1772.00,6075.00,1.420000,1.430000
"Kepler-65 c",2.58000000,5.40000000,5.85994400000,1246.00,6211.00,1.410000,1.250000
"TrES-2 b",15.24424000,473.56670000,2.47063000000,1466.00,5850.00,1.120000,1.360000
"Kepler-939 b",1.75000000,3.71000000,14.87829600000,692.00,5471.00,0.850000,0.880000
"Kepler-1028 b",1.33000000,2.33000000,2.51462432000,1217.00,5522.00,0.870000,0.900000
"HAT-P-67 b",23.98721870,143.02278315,4.81010690000,1903.00,6640.00,2.620000,1.730000
"Kepler-1101 b",2.47000000,6.66000000,81.31510590000,393.00,5614.00,0.910000,0.940000
"Kepler-1388 b",2.59000000,7.22000000,12.28546030000,434.00,4098.00,0.610000,0.630000
"Kepler-768 b",1.79000000,3.86000000,11.39100250000,618.00,5108.00,0.780000,0.820000
"Kepler-796 b",1.30000000,2.24000000,6.40087618000,1109.00,5475.00,1.090000,0.930000
"Kepler-110 b",1.83000000,4.01000000,12.69111200000,1008.00,5960.00,1.149000,0.989000
"Kepler-1042 b",2.19000000,5.43000000,10.13202575000,574.00,4815.00,0.720000,0.750000
"Kepler-334 c",1.43000000,2.63000000,12.75800500000,822.00,5828.00,1.068000,1.022000
"Kepler-937 b",3.72000000,13.40000000,67.66882700000,495.00,6095.00,1.220000,1.150000
"Kepler-1117 b",1.11000000,1.41000000,4.79028459000,938.00,5612.00,0.930000,0.950000
"Kepler-1789 b",2.83137505,8.40000000,80.23190308000,380.00,5436.00,0.888000,0.920000
"Kepler-1831 b",1.97019818,4.54000000,5.78387022000,1051.00,6063.00,1.012000,1.117000
"Kepler-1245 b",1.44000000,2.67000000,4.35409304000,1043.00,5306.00,0.830000,0.860000
"Kepler-114 b",1.26000000,1.09000000,5.18854900000,586.00,4605.00,0.667000,0.770000
"Kepler-1105 b",2.01000000,4.70000000,4.42157218200,729.00,4299.00,0.680000,0.710000
"Kepler-187 b",1.41000000,2.57000000,4.93886400000,1244.00,6105.00,1.287000,1.081000
"Kepler-1379 b",1.30000000,2.24000000,0.88184114600,1564.00,5188.00,0.790000,0.830000
"Kepler-304 c",2.17000000,5.35000000,5.31594600000,746.00,4731.00,0.687000,0.737000
"Kepler-1291 b",1.66000000,3.39000000,8.63043276000,739.00,5216.00,0.800000,0.840000
"Kepler-304 e",1.20000000,1.87000000,1.49914695300,1137.00,4817.00,0.730000,0.800000
"Kepler-461 b",2.58000000,7.18000000,8.31378305900,886.00,5634.00,0.910000,0.980000
"Kepler-1894 b",1.20117759,1.87000000,2.76266002700,1231.00,5772.00,0.901000,0.999000
"Kepler-576 b",3.27000000,10.70000000,29.91136794000,541.00,5672.00,0.970000,0.990000
"Kepler-1893 b",1.70557445,3.55000000,4.17936992600,1194.00,5633.00,1.162000,0.973000
"Kepler-1601 b",0.82000000,0.47700000,2.20921951000,1507.00,5869.00,1.070000,1.040000
"Kepler-1922 b",2.29064904,5.86000000,13.22259998000,740.00,5931.00,0.863000,0.953000
"HD 80653 b",1.62100000,5.61000000,0.71957926000,2438.00,5959.00,1.199000,1.150000
"Kepler-1542 d",0.87000000,0.59000000,5.99273738000,1010.00,5564.00,0.990000,0.940000
"Kepler-666 b",2.40000000,6.35000000,4.49876092000,1133.00,5887.00,1.050000,1.030000
"Kepler-211 c",1.29000000,18.30000000,6.04045000000,841.00,5123.00,0.816000,0.867000
"Kepler-203 c",2.47000000,749.90000000,5.37064700000,1096.00,5821.00,1.114000,1.060000
"GJ 674 b",3.33000000,11.09000000,4.69380000000,530.80,3600.00,0.364630,0.350000
"OGLE-TR-182 b",12.66600000,320.99500000,3.97910000000,1550.00,5924.00,1.140000,1.140000
"HD 69830 c",3.46000000,11.80000000,31.56000000000,567.04,5385.00,0.886947,0.860000
"GJ 3021 b",13.10000000,1071.04000000,133.71000000000,350.00,5540.00,0.900000,0.900000
"HD 221287 b",13.10000000,982.05000000,456.10000000000,290.13,6304.00,1.138640,1.250000
"HD 47536 b",12.60000000,2330.00000000,712.13000000000,736.52,4380.00,23.470000,2.100000
"HD 107148 b",9.60000000,66.74100000,48.05600000000,582.78,5797.00,1.169193,1.120000
"HD 179949 b",13.90000000,291.12000000,3.09251400000,1590.53,6168.00,1.266865,1.210000
"HD 188015 b",13.60000000,476.72000000,461.20000000000,267.98,5746.00,1.125296,1.090000
"HD 27442 b",13.50000000,495.80000000,428.10000000000,369.62,4846.00,3.180000,1.230000
"HD 46375 b",10.00000000,71.80000000,3.02357300000,1221.40,5285.00,0.914196,0.920000
"HAT-P-2 b",10.65975900,2866.81223114,5.63351580000,1540.00,6380.00,1.390000,1.330000
"HD 109749 b",11.10000000,85.81410000,5.23989100000,1250.83,5824.00,1.220000,1.130000
"HD 149143 b",13.60000000,422.71390000,4.07182000000,1471.90,5856.00,1.440000,1.200000
"HD 224693 b",14.00000000,222.48100000,26.69040000000,903.45,5894.00,1.930000,1.310000
"HD 231701 b",13.70000000,359.14790000,141.63000000000,483.27,6101.00,1.530000,1.210000
"HIP 14810 b",13.00000000,1239.53700000,6.67389200000,1048.20,5544.00,1.070000,1.010000
"HIP 14810 d",14.10000000,187.51970000,981.80000000000,198.54,5544.00,1.070000,1.010000
"HD 207832 b",14.20000000,177.98480000,160.07000000000,340.28,5726.00,0.890000,1.050000
"HD 37605 c",13.10000000,1013.87770000,2720.00000000000,126.75,5329.00,0.910000,0.940000
"HD 1605 c",13.00000000,1150.54460000,2149.00000000000,233.88,4915.00,3.490000,1.330000
"HD 55696 b",12.90000000,1357.12729789,1827.00000000000,200.43,6012.00,1.520000,1.290000
"HD 148164 c",12.80000000,1640.00280000,5062.00000000000,135.77,6032.00,1.340000,1.210000
"HD 211810 b",14.00000000,212.94610000,1558.00000000000,177.77,5652.00,1.130000,1.030000
"HD 221416 b",9.17000000,60.50000000,14.27670000000,1314.67,5080.00,2.943000,1.212000
"Kepler-595 c",1.00900000,3.30000000,12.38602000000,679.00,5138.50,0.821000,0.930000
"Kepler-595 b",3.70800000,17.40000000,25.30290920000,535.00,5138.50,0.821000,0.930000
"PSR B1257+12 b",0.33800000,0.02000000,25.26200000000,,,,1.400000
"PSR B1257+12 c",1.91000000,4.30000000,66.54190000000,,,,1.400000
"OGLE-TR-211 b",15.24400000,327.35100000,3.67724000000,1686.00,6325.00,1.640000,1.330000
"Lupus-TR-3 b",9.97600000,257.43100000,3.91405000000,1013.56,5000.00,0.820000,0.870000
"2MASS J04414489+2301513 b",12.60000000,2383.60000000,,17.60,2936.00,0.231916,0.019000
"WASP-21 b",11.99000000,95.34500000,4.32248200000,1333.00,5800.00,1.060000,1.010000
"CoRoT-10 b",10.87000000,874.00000000,13.24060000000,600.00,5075.00,0.790000,0.890000
"CoRoT-12 b",16.14000000,291.43800000,2.82804200000,1442.00,5675.00,1.116000,1.078000
"CoRoT-11 b",16.03000000,740.51000000,2.99433000000,1657.00,6440.00,1.370000,1.270000
"CoRoT-13 b",9.92000000,415.70400000,4.03519000000,1700.00,5945.00,1.010000,1.090000
"HD 285968 b",2.83000000,8.40000000,8.78360000000,450.00,3703.49,0.478214,0.500000
"HD 205739 b",13.60000000,435.41000000,279.80000000000,362.84,6176.00,1.330000,1.220000
"CoRoT-3 b",11.32000000,6883.91000000,4.25680000000,1695.00,6740.00,1.560000,1.370000
"HD 16417 b",5.00000000,22.10000000,17.24000000000,964.00,5841.00,1.639984,1.200000
"AB Pic b",12.30000000,4290.50000000,,15.80,5285.00,0.999394,0.900000
"CT Cha b",24.66000000,5403.00000000,,2600.00,4403.00,1.679694,
"HD 9446 b",14.00000000,222.47200000,30.05200000000,642.55,5793.00,1.000000,1.000000
"Kepler-4 b",4.00200000,24.47200000,3.21346000000,1650.00,5857.00,1.487000,1.223000
"GJ 876 c",14.00000000,226.98460000,30.08810000000,241.66,3293.74,0.300000,0.320000
"HIP 79431 b",13.40000000,667.41500000,111.70000000000,177.42,3191.00,0.478625,0.490000
"WASP-31 b",17.36300000,151.91600000,3.40590960000,1423.70,6302.00,1.252000,1.163000
"24 Sex b",13.40000000,632.46000000,452.80000000000,471.32,5098.00,4.900000,1.540000
"WASP-37 b",13.00200000,572.07000000,3.57746900000,1232.50,5800.00,1.003000,0.925000
"Kepler-9 d",1.64000000,8.41466053,1.59285100000,2026.00,5777.00,1.020000,1.070000
"KOI-217 b",12.44200000,,3.90512000000,1046.00,5545.00,0.860000,0.950000
"HD 90156 b",4.43000000,17.98000000,49.77000000000,518.01,5599.00,0.920286,0.840000
"HD 177830 c",7.87000000,47.67250000,110.90000000000,538.95,4949.00,2.620000,1.470000
"ups And b",14.00000000,218.53100000,4.61703300000,1523.73,6156.77,1.560000,1.300000
"ups And d",12.50000000,3257.74117175,1276.46000000000,233.90,6156.77,1.560000,1.300000
"OGLE-2017-BLG-0373L b",14.00000000,127.00000000,,,,,0.248000
"Kepler-1737 b",5.39500000,25.10000000,64.61750031000,383.00,5043.00,0.881000,0.834000
"K2-269 b",1.57000000,3.09000000,4.14496500000,1429.00,6209.00,1.450000,1.160000
"TOI-1249 b",3.27103010,11.90000000,13.07915100000,726.89,5497.00,0.978500,1.006200
"Kepler-106 d",0.95000000,8.10000000,23.98020000000,649.00,5858.00,1.040000,1.000000
"Kepler-1031 b",0.87000000,0.59000000,1.22621732000,2024.00,6011.00,1.120000,1.090000
"CD-35 2722 b",17.37392009,9375.93800650,,1800.00,3689.00,0.558549,0.400000
"Kepler-948 b",1.85000000,4.08000000,7.76846622000,841.00,5679.00,0.940000,0.960000
"OGLE-2014-BLG-0319L b",14.10000000,181.16219199,,,,,0.520000
"OGLE-2018-BLG-1011L b",13.50000000,570.00000000,,,,,0.180000
"WASP-61 b",15.80469000,851.78440000,3.85590000000,1624.40,6250.00,1.550000,1.820000
"KMT-2022-BLG-0303L b",14.20000000,163.04597279,,,,,0.368000
"OGLE-2019-BLG-0954L b",12.30000000,4513.16337940,,,,,0.800000
"WASP-123 b",15.13212395,285.72917000,2.97764359000,1500.00,5740.00,1.285000,1.166000
"Kepler-1882 b",1.48674404,2.81000000,13.78730011000,894.00,5691.00,1.458000,1.068000
"KOI-984 b",4.30000000,17.10000000,4.28817850000,1022.00,5295.00,0.818000,0.928000
"Kepler-1573 b",1.20000000,1.87000000,2.61575540000,1379.00,5808.00,1.000000,1.010000
"Kepler-802 b",3.54000000,12.30000000,40.05874730000,489.00,5507.00,0.900000,0.930000
"KMT-2023-BLG-1454L b",14.10000000,200.23189641,,,,,0.170000
"Kepler-1440 b",1.26000000,2.13000000,39.85948400000,597.00,5698.00,0.960000,0.980000
"WASP-130 b",9.97601000,390.93090000,11.55098000000,833.00,5625.00,0.960000,1.040000
"OGLE-2017-BLG-1049L b",12.80000000,1760.00000000,,,,,0.550000
"Kepler-949 b",2.91000000,8.80000000,8.68930729600,782.00,5403.00,0.860000,0.890000
"Kepler-1964 b",1.78105870,3.83000000,2.44082999200,986.00,4803.00,0.698000,0.752000
"KMT-2023-BLG-1592L b",14.10000000,184.34047606,,,,,0.550000
"OGLE-2019-BLG-0362L b",13.10000000,1036.12060682,,,,,0.420000
"KMT-2017-BLG-1057L b",5.19000000,23.50000000,,,,,0.570000
"KMT-2025-BLG-1616L b",7.34000000,42.32000000,,,,,0.260000
"Wolf 327 b",1.24000000,2.53000000,0.57347450000,996.00,3542.00,0.406000,0.405000
